question,final_answer,reasoning_summary,winner_provider,verified,entropy,disagreement,risk,concept_cluster,difficulty,subject,source
Evaluate tan^(-1)(3) - tan^(-1)(1).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(pi/3)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(5*pi/6)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(5*pi/6)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(7*pi/6)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate tan^(-1)(tan(3*pi/4)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate tan^(-1)(tan(5*pi/4)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate sin(sin^(-1)(1/2)).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate cos(cos^(-1)(1/2)).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate tan(tan^(-1)(1/2)).,0,"Applied retrieval-guided heuristic reasoning. Key hint: Quadratic Equations: Use factoring, completing square, or formula. Verify extraneous roots.",mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(-pi/3)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(-pi/3)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(tan(-3*pi/4)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(4*pi/3)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(4*pi/3)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate tan^(-1)(tan(7*pi/4)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(3*pi/2)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(3*pi/2)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate tan^(-1)(tan(pi)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(2*pi/3)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(2*pi/3)).,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Solve sin^(-1)(x)=pi/6. Find x.,pi/6. Find x.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Solve cos^(-1)(x)=pi/3. Find x.,pi/3. Find x.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Solve tan^(-1)(x)=pi/4. Find x.,pi/4. Find x.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Solve sin^(-1)(x)=-pi/6. Find x.,-pi/6. Find x.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Solve cos^(-1)(x)=2*pi/3. Find x.,2*pi/3. Find x.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Solve tan^(-1)(x)=-pi/4. Find x.,-pi/4. Find x.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Find x if sin^(-1)(x)+cos^(-1)(x)=pi.,pi.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,medium,math,mini_shadow_logs
Find x if sin^(-1)(x)+cos^(-1)(x)=pi/2.,pi/2.,Used equation RHS fallback from prompt structure.,mini,True,0.0,0.0,1.0,math|quadratic|roots|chemistry|equilibrium|jee|equation|algebra,medium,math,mini_shadow_logs
Find x if 2sin^(-1)(x)=pi/2.,pi/2.,Used equation RHS fallback from prompt structure.,mini,True,0.0,0.0,1.0,math|quadratic|roots|chemistry|equilibrium|jee|physics|kinematics,easy,math,mini_shadow_logs
Find x if tan^(-1)(x)+tan^(-1)(1)=pi/4.,pi/4.,Used equation RHS fallback from prompt structure.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,medium,math,mini_shadow_logs
Find x if tan^(-1)(x)+tan^(-1)(1/x)=pi/2 and x>0.,pi/2 and x>0.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,medium,math,mini_shadow_logs
Find x if sin^(-1)(2x)=pi/6.,pi/6.,Used equation RHS fallback from prompt structure.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Find x if cos^(-1)(2x-1)=pi/3.,pi/3.,Used equation RHS fallback from prompt structure.,mini,True,0.0,0.0,1.0,math|equation|algebra|physics|kinematics|units|quadratic|roots,easy,math,mini_shadow_logs
Find x if tan^(-1)(2x)=pi/3.,pi/3.,Used equation RHS fallback from prompt structure.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Find x if sin^(-1)(x)=cos^(-1)(x).,cos^(-1)(x).,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Find x if tan^(-1)(x)=sin^(-1)(1/2).,sin^(-1)(1/2).,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Find x if cos^(-1)(x)=tan^(-1)(1).,tan^(-1)(1).,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Find x if sin^(-1)(x)+sin^(-1)(1/2)=pi/2.,pi/2.,Used equation RHS fallback from prompt structure.,mini,True,0.0,0.0,1.0,math|quadratic|roots|chemistry|equilibrium|jee|physics|kinematics,medium,math,mini_shadow_logs
Find x if cos^(-1)(x)+cos^(-1)(1/2)=pi.,pi.,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|quadratic|roots|chemistry|equilibrium|jee|equation|algebra,medium,math,mini_shadow_logs
Find x if tan^(-1)(x)=cos^(-1)(1/2).,cos^(-1)(1/2).,Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) in radians.,pi/6,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|physics|kinematics,easy,math,mini_shadow_logs
Evaluate cos^(-1)(1/2).,pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate tan^(-1)(1).,pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(-1/2).,-pi/6,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate cos^(-1)(-1/2).,2*pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate tan^(-1)(-1).,-pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(0).,0.0000,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate cos^(-1)(0).,pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(0).,0.0000,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(1).,pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate cos^(-1)(-1).,pi,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(sqrt(3)).,pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|math|equation|algebra|chemistry|equilibrium|quadratic,easy,math,mini_shadow_logs
Evaluate tan^(-1)(1/sqrt(3)).,pi/6,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|math|equation|algebra|chemistry|equilibrium|quadratic,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sqrt(3)/2).,pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|equation|algebra|quadratic,easy,math,mini_shadow_logs
Evaluate cos^(-1)(sqrt(2)/2).,pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(-sqrt(2)/2).,-pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|math|quadratic|roots|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate cos^(-1)(-sqrt(2)/2).,3*pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|math|quadratic|roots|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate tan^(-1)(sqrt(3)/3).,pi/6,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|math|equation|algebra|chemistry|equilibrium|quadratic,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sqrt(3)/2) + cos^(-1)(1/2).,2*pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) + cos^(-1)(1/2).,pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate sin^(-1)(x) at x=1/sqrt(2).,pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,easy,math,mini_shadow_logs
Evaluate cos^(-1)(x) at x=-1/sqrt(2).,3*pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(x) at x=-sqrt(3).,-pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|math|equation|algebra|quadratic|roots|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(-1).,-pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate cos^(-1)(1).,0.0000,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(-inf).,-pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(1/sqrt(2)) + sin^(-1)(1/sqrt(2)).,pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate cos^(-1)(1/2) - sin^(-1)(1/2).,pi/6,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate tan^(-1)(1/x) at x=1.,pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(1) + tan^(-1)(1).,pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(1/2) + tan^(-1)(1/3).,0.785398,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(2) + tan^(-1)(1/3).,1.428899,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(1) - tan^(-1)(1/2).,-atan(1/2) + pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate 2tan^(-1)(1).,pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) + sin^(-1)(sqrt(3)/2).,pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate cos^(-1)(1/2) + cos^(-1)(-1/2).,pi,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) - cos^(-1)(1/2).,-pi/6,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate tan^(-1)(x)+tan^(-1)(1/x) at x=2.,1.570796,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate tan^(-1)(x)+tan^(-1)(1/x) at x=-2.,-1.570796,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
Evaluate sin(2 sin^(-1)(1/2)).,0.866025,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate cos(2 cos^(-1)(1/2)).,-0.5000,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate tan(2 tan^(-1)(1/2)).,1.333333,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) + cos^(-1)(sqrt(3)/2).,pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate cos^(-1)(1/2) - sin^(-1)(sqrt(3)/2).,0.0000,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(sqrt(3)) - tan^(-1)(1).,pi/12,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|math|equation|algebra|chemistry|equilibrium|quadratic,easy,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) + tan^(-1)(1/sqrt(3)).,pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|equation|algebra|quadratic,medium,math,mini_shadow_logs
Evaluate cos^(-1)(sqrt(2)/2) + tan^(-1)(1).,pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate sin^(-1)(1/sqrt(2)) - tan^(-1)(1).,0.0000,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|quadratic|roots|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(sqrt(3)) + cos^(-1)(1/2).,2*pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,trap|jee|chemistry|equilibrium|math|equation|algebra|quadratic,medium,math,mini_shadow_logs
Evaluate sin^(-1)(x)+sin^(-1)(x) at x=1/2.,pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate tan^(-1)(x)-tan^(-1)(-x) at x=2.,2.214297,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate sin^(-1)(1/2) + sin^(-1)(1/3).,asin(1/3) + pi/6,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
Evaluate tan^(-1)(1/2) + tan^(-1)(2).,1.570796,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,medium,math,mini_shadow_logs
Evaluate tan^(-1)(3) - tan^(-1)(1).,-pi/4 + atan(3),Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(pi/3)).,pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(5*pi/6)).,pi/6,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(5*pi/6)).,5*pi/6,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(7*pi/6)).,5*pi/6,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate tan^(-1)(tan(3*pi/4)).,-pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate tan^(-1)(tan(5*pi/4)).,pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate sin(sin^(-1)(1/2)).,0.5000,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate cos(cos^(-1)(1/2)).,0.5000,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate tan(tan^(-1)(1/2)).,0.5000,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|quadratic|roots|jee|trap|verification|chemistry|equilibrium,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(-pi/3)).,-pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(-pi/3)).,pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Evaluate tan^(-1)(tan(-3*pi/4)).,pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(4*pi/3)).,-pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(4*pi/3)).,2*pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate tan^(-1)(tan(7*pi/4)).,-pi/4,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(3*pi/2)).,-pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(3*pi/2)).,pi/2,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate tan^(-1)(tan(pi)).,0.0000,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate sin^(-1)(sin(2*pi/3)).,pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Evaluate cos^(-1)(cos(2*pi/3)).,2*pi/3,Deterministic inverse-trig evaluation.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Solve sin^(-1)(x)=pi/6. Find x.,0.5000,Deterministic inverse-trig equation solving.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Solve cos^(-1)(x)=pi/3. Find x.,0.5000,Deterministic inverse-trig equation solving.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Solve tan^(-1)(x)=pi/4. Find x.,1.0000,Deterministic inverse-trig equation solving.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
Solve sin^(-1)(x)=-pi/6. Find x.,-0.5000,Deterministic inverse-trig equation solving.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,easy,math,mini_shadow_logs
